P Waves (Seconds),Q Waves (Seconds),R Waves (Seconds),S Waves (Seconds),T Waves (Seconds)
0.15,0.2833333333333333,0.6183333333333333,0.6533333333333333,0.8016666666666666
,1.2183333333333333,1.27,1.305,1.4683333333333333
,1.9183333333333332,1.9533333333333334,1.9883333333333333,2.1533333333333333
,2.6033333333333335,2.638333333333333,2.6733333333333333,2.8383333333333334
,3.255,3.3216666666666668,3.3583333333333334,3.3716666666666666
,3.9566666666666666,4.006666666666667,4.041666666666667,4.19
,4.658333333333333,4.725,4.76,4.908333333333333
,5.376666666666667,5.441666666666666,5.4783333333333335,5.641666666666667
,6.076666666666667,6.128333333333333,6.163333333333333,6.326666666666667
,6.761666666666667,6.826666666666667,6.846666666666667,7.011666666666667
,7.43,7.495,7.531666666666666,7.68
,8.13,8.18,8.2,8.38
,8.765,8.831666666666667,8.85,8.998333333333333
,9.531666666666666,9.465,9.485,9.65
,,,,
,,,,
,,,,
,,,,
Total Found,Total Found,Total Found,Total Found,Total Found
1,14,14,14,14
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
