P Waves (Seconds),Q Waves (Seconds),R Waves (Seconds),S Waves (Seconds),T Waves (Seconds)
0.15,0.3566666666666667,0.685,0.72,0.885
7.2283333333333335,1.335,1.4016666666666666,1.4216666666666666,1.6033333333333333
,2.07,2.12,2.155,2.32
,2.82,2.8716666666666666,2.9066666666666667,3.0716666666666668
,3.5733333333333333,3.6233333333333335,3.658333333333333,3.8233333333333333
,4.34,4.39,4.426666666666667,4.591666666666667
,5.075,5.126666666666667,5.161666666666667,5.176666666666667
,5.825,5.876666666666667,5.911666666666667,6.093333333333334
,6.5616666666666665,6.626666666666667,6.6466666666666665,6.8116666666666665
,7.295,7.361666666666666,7.398333333333333,7.578333333333333
,8.046666666666667,8.096666666666666,8.131666666666666,8.296666666666667
,8.765,8.815,8.85,9.015
,9.616666666666667,9.55,9.585,9.75
,,,,
,,,,
,,,,
,,,,
Total Found,Total Found,Total Found,Total Found,Total Found
2,13,13,13,13
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
