P Waves (Seconds),Q Waves (Seconds),R Waves (Seconds),S Waves (Seconds),T Waves (Seconds)
0.051666666666666666,0.31666666666666665,0.485,0.52,0.6833333333333333
,1.085,1.135,1.17,1.335
,1.72,1.7866666666666666,1.8216666666666668,1.97
,2.388333333333333,2.453333333333333,2.49,2.638333333333333
,3.0716666666666668,3.1216666666666666,3.1416666666666666,3.305
,3.723333333333333,3.7733333333333334,3.808333333333333,3.9566666666666666
,4.39,4.44,4.46,4.625
,5.041666666666667,5.091666666666667,5.111666666666666,5.26
,5.675,5.726666666666667,5.761666666666667,5.91
,6.295,6.36,6.3966666666666665,6.545
,6.928333333333334,6.995,7.03,7.195
,7.595,7.6466666666666665,7.681666666666667,7.83
,8.263333333333334,8.298333333333334,8.333333333333334,8.498333333333333
,8.915,8.965,9.0,9.165
,9.616666666666667,9.633333333333333,9.668333333333333,9.833333333333334
,,,,
,,,,
,,,,
,,,,
Total Found,Total Found,Total Found,Total Found,Total Found
1,15,15,15,15
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
