P Waves (Seconds),Q Waves (Seconds),R Waves (Seconds),S Waves (Seconds),T Waves (Seconds)
,0.3233333333333333,0.43333333333333335,0.4683333333333333,0.6333333333333333
,1.0183333333333333,1.085,1.12,1.2683333333333333
,1.6866666666666668,1.7516666666666667,1.7716666666666667,1.9366666666666668
,2.3366666666666664,2.3866666666666667,2.4233333333333333,2.555
,2.955,3.005,3.04,3.1883333333333335
,3.5716666666666668,3.6233333333333335,3.658333333333333,3.8066666666666666
,4.173333333333333,4.24,4.276666666666666,4.425
,4.806666666666667,4.858333333333333,4.8933333333333335,5.025
,5.425,5.46,5.495,5.641666666666667
,6.026666666666666,6.076666666666667,6.111666666666666,6.26
,6.645,6.711666666666667,6.746666666666667,6.895
,7.3116666666666665,7.361666666666666,7.398333333333333,7.545
,7.996666666666667,8.046666666666667,8.081666666666667,8.246666666666666
,8.715,8.78,8.8,8.948333333333334
,9.483333333333333,9.45,9.485,9.616666666666667
,,,,
,,,,
,,,,
,,,,
Total Found,Total Found,Total Found,Total Found,Total Found
0,15,15,15,15
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
