P Waves (Seconds),Q Waves (Seconds),R Waves (Seconds),S Waves (Seconds),T Waves (Seconds)
4.975,0.365,0.08333333333333333,0.11833333333333333,0.13333333333333333
,0.7666666666666667,0.8166666666666667,0.8366666666666667,1.0016666666666667
,1.485,1.5366666666666666,1.5716666666666668,1.735
,2.1866666666666665,2.2533333333333334,2.2883333333333336,2.453333333333333
,2.888333333333333,2.955,2.99,3.155
,3.6216666666666666,3.6566666666666667,3.691666666666667,3.8566666666666665
,4.34,4.375,4.41,4.591666666666667
,5.058333333333334,5.108333333333333,5.128333333333333,5.293333333333333
,5.791666666666667,5.826666666666667,5.861666666666666,6.01
,6.4783333333333335,6.545,6.58,6.743333333333333
,7.195,7.261666666666667,7.281666666666666,7.461666666666667
,7.928333333333334,7.98,8.015,8.18
,8.68,8.715,8.75,8.915
,9.516666666666667,9.448333333333334,9.485,9.5
,,,,
,,,,
,,,,
,,,,
Total Found,Total Found,Total Found,Total Found,Total Found
1,14,14,14,14
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
